video_name,publish_time,content_type,review_status,play_count,completion_rate,completion_rate_5s,bounce_rate_2s,avg_watch_time_sec,like_count,share_count,comment_count,favorite_count,profile_visit_count,follower_gain_count,cover_ctr,engagement_rate,follow_conversion_rate,profile_to_follow_rate,retention_quality_score
最近每天都在头脑风暴，是要进化了吗🧬,2026-04-03 21:26:39,图文,公开,34606,0.366807,0.366807,0.42553,4.586155,1155,69,45,84,6549,277,,0.039097266369993645,0.008004392301912962,0.04229653382195755,0.21071961729000002
朋友圈新封面,2026-03-14 19:31:43,图文,公开,11864,0.216454,0.216454,0.532029,4.152455,663,15,20,7,1078,23,,0.059423465947403914,0.0019386378961564396,0.021335807050092765,0.10129419483400001
延续2025的梦幻,2026-02-04 19:59:05,图文,公开,8954,0.048099,0.048099,0.449129,9.656424,393,20,12,16,789,19,,0.04925173106991289,0.002121956667411213,0.024081115335868188,0.026496344229
结束三个月的加州交换之旅🔚我们未来见,2025-12-15 18:15:00,图文,公开,82067,0.126646,0.11071,0.4398,5.238548,5190,129,117,306,7711,342,,0.06996722190405401,0.004167326696479705,0.04435222409544806,0.07094708920000001
小小琦，长大后的世界很精彩。#童年 #一转眼就长大了,2025-12-08 15:25:02,图文,公开,11311,0.162525,0.133018,0.547408,3.643819,313,6,55,1,2466,37,,0.033153567323844044,0.0032711519759526125,0.015004055150040552,0.0735575148
随机挑个人帮我打扫房间,2025-11-24 20:30:00,1min-视频,公开,2898,0.141341,0.292921,0.482458,6.157359,131,8,29,0,663,15,,0.057971014492753624,0.005175983436853002,0.02262443438914027,0.07314990382199998
无标题,2025-11-15 12:48:56,图文,公开,43066,0.149493,0.122141,0.701799,3.886078,2242,289,148,70,7493,218,,0.06383225746528584,0.005061997863744021,0.029093820899506205,0.044578962093
同步一下最近。很开心在20岁的第一个星期认识了很多新朋友,2025-11-02 11:35:57,图文,公开,8894,0.214063,0.181132,0.407842,4.656386,293,17,29,7,644,39,,0.03890263098718237,0.004384978637283562,0.06055900621118013,0.126759117954
三个月的时间真的很快，所以请你天天开心,2025-10-18 11:33:39,图文,公开,4829,0.070524,0.294183,0.396843,6.884166,198,22,47,4,660,31,,0.0561192793539035,0.006419548560778629,0.04696969696969697,0.042537044268
一切顺利,2025-10-01 11:44:54,图文,公开,1407,0.358724,0.277848,0.468869,5.389665,74,2,6,0,192,3,,0.05828002842928216,0.0021321961620469083,0.015625,0.190529436844
永远太远了 明天陪我吃饭吧,2025-09-23 14:30:57,图文,公开,1482,0.25464,0.312169,0.42328,6.684524,80,1,34,0,364,5,,0.07759784075573549,0.0033738191632928477,0.013736263736263736,0.14685598079999998
Green🌴,2025-09-14 12:51:26,图文,公开,974,0.242047,0.190011,0.489685,6.925081,68,0,28,1,242,3,,0.09958932238193019,0.003080082135523614,0.012396694214876033,0.12352021480500003
看世界也找自己,2025-09-12 14:59:09,图文,公开,7777,0.143091,0.119793,0.481595,6.73434,218,13,39,4,801,9,,0.035232094638035234,0.0011572585830011573,0.011235955056179775,0.074179089855
等我卧推⬆️60😋,2025-09-03 22:23:08,图文,公开,345,0.278481,0.405172,0.387931,9.324713,42,0,24,0,123,0,,0.19130434782608696,0.0,0.0,0.17044958718899997
🛫,2025-08-09 12:19:34,图文,公开,949,0.133949,0.354567,0.439303,8.029447,55,0,30,0,211,1,,0.08956796628029505,0.001053740779768177,0.004739336492890996,0.07510480245300001
感知幸福的瞬间。#随记,2025-07-18 21:18:28,图文,公开,724,0.410331,0.303078,0.4191,8.186267,44,0,21,0,137,0,,0.08977900552486189,0.0,0.0,0.2383612779
悲伤的一天....拍点手势舞！,2025-07-11 19:57:52,图文,公开,4193,0.197819,0.235009,0.540268,4.776053,71,4,29,1,385,8,,0.025041736227045076,0.0019079418077748629,0.02077922077922078,0.090943724508
整部电影的收尾，也是我最喜欢的片段。我觉得前任1的主题是异性朋友这四个字，无论是孟云和夏露的前任也好，还是罗茜的存在也罢，都对孟云和夏露之间的感情造成了一定程度的冲击，影响了他们之间的信任。如果没有这个片段，那最后的结局似乎是个be，但无论如何，我觉得这样的结局才更能引发思考，就像电影里说的，真爱会让两个人再次相遇，也正如孟云所说，如果他真的和罗茜在一起了，可能会打破她的最快分手记录。电影中的甜蜜片段也会让我开始憧憬，憧憬我也能遇到一个同频的人，我去接她下班，然后一起去吃一家新开的餐厅，或者看一部新上映的电影，中途要是也碰到自己的前任，那就当是彩蛋了。还让我印象深刻的片段就是罗茜在婚礼上的宣泄了，其实罗茜和夏云都知道彼此在对方心中的份量，但可能确实是有缘无分吧，他们没有在最合适的时间在一起，那错过了就是错过了，但也无妨，因为看这部电影的时候我总会想到发生在我自己身上的事情，其实对我来说大二这一年最大的收获就是，我明白了一个道理，无论是同性朋友还是异性朋友，只要陪伴彼此一起走过同一段路，看过同一片风景，无论最后结果怎么样，只要有过，就都是值得的。,2025-07-01 23:54:55,1min-视频,公开,4164,0.064337,0.470785,0.32166,8.486917,45,2,17,3,85,0,,0.016090297790585975,0.0,0.0,0.04364236058
很感慨，对我来说加入双创是个很奇妙的体验。因为双创，我结识了很多优秀的学长学姐，也在这交到了许多知心朋友，还认识了现在的管科五班，一个氛围特别好的班级，前天喝酒我也跟他们说，我说能当他们班的班助我觉得是件很幸运的事情，也正是因为双创，给了我很多展示自己，上台锻炼的机会，原来那个自我介绍都结巴的大一新生，现在能够在台上面带微笑侃侃而谈，真的感谢双创，让我一步一个脚印走向更好的自己，希望双创越来越好！,2025-06-28 00:05:37,图文,公开,1287,0.26309,0.205516,0.477015,5.063818,35,0,2,0,74,0,,0.028749028749028748,0.0,0.0,0.13759212365
可算熬过来了,2025-06-17 18:54:57,图文,公开,4289,0.147716,0.275312,0.52342,5.619759,61,10,40,0,520,7,,0.02588015854511541,0.0016320820704126837,0.013461538461538462,0.07039849127999999
我沉默了一段时间恢复了以前的样子,2025-05-18 15:18:35,图文,公开,4892,0.223368,0.170661,0.455359,7.118515,124,6,25,3,394,5,,0.032297628781684386,0.0010220768601798855,0.012690355329949238,0.12165537088799999
早日康复，这支队伍需要你。#独行侠,2025-03-05 10:25:51,图文,公开,3981,0.157985,0.12761,0.66048,2.892498,53,0,6,0,51,0,,0.014820396885204722,0.0,0.0,0.0536390672
